"Id","Probability"
1,0.079305946251787
2,0.0633191274110201
3,0.0404913508400467
4,0.0829524430592686
5,0.102452359748696
6,0.0617449143806434
7,0.0611807667292531
8,0.0539542798608265
9,0.027735967318371
10,0.331258942556635
11,0.0368561374400256
12,0.0469117068658628
13,0.0306360115978915
14,0.0673693873410044
15,0.0561075131546442
16,0.0395651148050825
17,0.0490215523682235
18,0.0390804934810843
19,0.188978542931492
20,0.0718355496737958
21,0.0350494013697464
22,0.0390969310147314
23,0.0301878652486006
24,0.440143307192053
25,0.0715842353581405
26,0.0403606458941808
27,0.0808241103233853
28,0.0307648400999371
29,0.0780935646519248
30,0.047189264441262
31,0.0592308786537331
32,0.0354457401374087
33,0.043982592080879
34,0.0810453388322788
35,0.287469545548744
36,0.0774247149096332
37,0.056583707020292
38,0.0413050095623222
39,0.0361664888326238
40,0.0667240893344605
41,0.325104395844077
42,0.215177380341945
43,0.100430715050957
44,0.0328268513694244
45,0.0658689544259556
46,0.0267292598778417
47,0.0275852273824236
48,0.0406536046411114
49,0.0383626591639582
50,0.0456383868575711
51,0.0406361092197122
52,0.0412199901565541
53,0.0319978587471141
54,0.0672048873241592
55,0.0422187273728324
56,0.0785957484055744
57,0.0328445876823914
58,0.134842339210304
59,0.0883820528853608
60,0.0870261510127177
61,0.0468935746814082
62,0.0341620941324906
63,0.0529771622055572
64,0.0369459661014697
65,0.0526007950139496
66,0.0511500284508618
67,0.0355334043164733
68,0.175779635227953
69,0.0307393945507813
70,0.66733276569279
71,0.0363564259416023
72,0.0961484647340282
73,0.0306746542736306
74,0.158273972639446
75,0.036331225912722
76,0.054987857685998
77,0.082295444863107
78,0.0615201278430364
79,0.0416472836675067
80,0.0387554919834611
81,0.0431707479317208
82,0.0358310004779659
83,0.0666176925863509
84,0.0311987600465176
85,0.0457158688203762
86,0.039652243785217
87,0.0736647617209499
88,0.0420274002133037
89,0.0668001018765865
90,0.0434862967370931
91,0.0915467582999703
92,0.0352218656131541
93,0.0405139846790989
